modern_name,Date,FirstSlash,SecondSlash,day,month,year,Corrected,latitude,longitude,County,Notes or reference #,
Auckland,21/12/1344,3,6,21,12,1344,1344/12/21,54.655702,-1.6915216,Durham,,
Hartlebury,21/12/1344,3,6,21,12,1344,1344/12/21,52.327826,-2.2508729,Worcestershire,,
Hartlebury,21/12/1348,3,6,21,12,1348,1348/12/21,52.327826,-2.2508729,Worcestershire,,
Fairford,21/2/1340,3,5,21,2,1340,1340/2/21,51.698548,-1.7843625,Gloucestershire,,
Hartlebury,21/2/1349,3,5,21,2,1349,1349/2/21,52.327826,-2.2508729,Worcestershire,,
Canterbury,21/3/1339,3,5,21,3,1339,1339/3/21,51.27195,1.0665648,Kent,,
Tewkesbury,21/3/1345,3,5,21,3,1345,1345/3/21,51.986345,-2.1615883,Gloucestershire,,
Bristol,21/3/1349,3,5,21,3,1349,1349/3/21,51.47254,-2.5772934,Gloucestershire,,
Worcester,21/4/1340,3,5,21,4,1340,1340/4/21,52.184041,-2.2208098,Worcestershire,,
Hartlebury,21/4/1349,3,5,21,4,1349,1349/4/21,52.327826,-2.2508729,Worcestershire,,
Bredon,21/5/1345,3,5,21,5,1345,1345/5/21,52.022359,-2.1179982,Worcestershire,,
Bristol Deanery,21/6/1340,3,5,21,6,1340,1340/6/21,51.47254,-2.5772934,Gloucestershire,,
Blockley,21/6/1341,3,5,21,6,1341,1341/6/21,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Hartlebury,21/6/1349,3,5,21,6,1349,1349/6/21,52.327826,-2.2508729,Worcestershire,,
Bredon,21/7/1339,3,5,21,7,1339,1339/7/21,52.022359,-2.1179982,Worcestershire,,
Blockley,21/7/1340,3,5,21,7,1340,1340/7/21,52.00421,-1.768331,"Worcs (det), locally in Gloucs",,
Hartlebury,21/7/1349,3,5,21,7,1349,1349/7/21,52.327826,-2.2508729,Worcestershire,,
Pinley,21/8/1342,3,5,21,8,1342,1342/8/21,52.389913,-1.4871298,Warwickshire,,
Tewkesbury,21/8/1347,3,5,21,8,1347,1347/8/21,51.986345,-2.1615883,Gloucestershire,,
Gloucester,21/9/1342,3,5,21,9,1342,1342/9/21,51.860322,-2.2482616,Gloucestershire,,
Hartlebury,22/1/1341,3,5,22,1,1341,1341/1/22,52.327826,-2.2508729,Worcestershire,,
Alcester,22/1/1343,3,5,22,1,1343,1343/1/22,52.417951,-1.8985023,Worcestershire,,
Alvechurch,22/1/1346,3,5,22,1,1346,1346/1/22,52.34607,-1.9720644,Worcestershire,,
Worcester,22/1/1347,3,5,22,1,1347,1347/1/22,52.184041,-2.2208098,Worcestershire,,
Hartlebury,22/11/1344,3,6,22,11,1344,1344/11/22,52.327826,-2.2508729,Worcestershire,,
Hartlebury,22/12/1343,3,6,22,12,1343,1343/12/22,52.327826,-2.2508729,Worcestershire,,
Hartlebury,22/12/1344,3,6,22,12,1344,1344/12/22,52.327826,-2.2508729,Worcestershire,,
Hartlebury,22/12/1348,3,6,22,12,1348,1348/12/22,52.327826,-2.2508729,Worcestershire,,
Fairford,22/2/1340,3,5,22,2,1340,1340/2/22,51.698548,-1.7843625,Gloucestershire,,
Hartlebury,22/2/1344,3,5,22,2,1344,1344/2/22,52.327826,-2.2508729,Worcestershire,,
Hartlebury,22/2/1349,3,5,22,2,1349,1349/2/22,52.327826,-2.2508729,Worcestershire,,
Hartlebury,22/3/1340,3,5,22,3,1340,1340/3/22,52.327826,-2.2508729,Worcestershire,283,
Burton by Beverley,22/3/1344,3,5,22,3,1344,1344/3/22,53.838018,-0.5121996,"Yorkshire, East Riding",,
Burton by Beverley,22/3/1344,3,5,22,3,1344,1344/3/22,53.838018,-0.5121996,"Yorkshire, East Riding",,
Hartlebury,22/4/1339,3,5,22,4,1339,1339/4/22,52.327826,-2.2508729,Worcestershire,,
Alvechurch,22/4/1340,3,5,22,4,1340,1340/4/22,52.34607,-1.9720644,Worcestershire,,
Hartlebury,22/4/1340,3,5,22,4,1340,1340/4/22,52.327826,-2.2508729,Worcestershire,292-94,
Hartlebury,22/4/1343,3,5,22,4,1343,1343/4/22,52.327826,-2.2508729,Worcestershire,,
Upton-on-Severn,22/4/1345,3,5,22,4,1345,1345/4/22,52.301076,-2.1040746,Worcestershire,,
Bristol,22/4/1346,3,5,22,4,1346,1346/4/22,51.47254,-2.5772934,Gloucestershire,,
Hartlebury,22/4/1349,3,5,22,4,1349,1349/4/22,52.327826,-2.2508729,Worcestershire,,
